4506;01/03/2018 06:00:00;01/03/2018 07:50:00;;9;6
4507;01/03/2018 07:50:00;01/03/2018 12:00:00;18020155;1;7
4508;01/03/2018 12:00:00;01/03/2018 13:00:00;;23;8
4509;01/03/2018 13:00:00;01/03/2018 14:00:00;18020155;1;9
4511;01/03/2018 14:00:00;01/03/2018 14:00:00;18020155;2;11
4514;01/03/2018 14:00:00;01/03/2018 22:00:00;;19;14
4515;02/03/2018 06:00:00;02/03/2018 07:25:00;;9;15
28538;02/03/2018 07:25:00;02/03/2018 10:55:00;18020156;1;53
4517;02/03/2018 10:55:00;02/03/2018 10:55:00;18020156;2;17
4522;02/03/2018 10:55:00;02/03/2018 13:15:00;;9;22
28549;02/03/2018 13:15:00;02/03/2018 14:00:00;18020159;1;54
4524;02/03/2018 14:00:00;02/03/2018 22:00:00;;19;24
10568;03/03/2018 06:00:00;03/03/2018 07:00:00;;20;56
10569;03/03/2018 07:00:00;03/03/2018 08:20:00;;4;56
10570;03/03/2018 08:20:00;03/03/2018 08:35:00;;3;57
10571;03/03/2018 08:35:00;03/03/2018 11:00:00;18020159;1;57
10575;03/03/2018 11:00:00;03/03/2018 12:00:00;;23;57
10576;05/03/2018 06:00:00;05/03/2018 06:55:00;;20;57
10577;05/03/2018 06:55:00;05/03/2018 07:55:00;18020159;1;57
10582;05/03/2018 07:55:00;05/03/2018 07:55:00;18020159;2;58
10588;05/03/2018 07:55:00;05/03/2018 09:05:00;;3;58
28891;05/03/2018 09:05:00;05/03/2018 13:40:00;18020210;1;89
10590;05/03/2018 13:40:00;05/03/2018 13:40:00;18020210;2;59
10596;05/03/2018 13:40:00;05/03/2018 14:00:00;;9;59
10597;05/03/2018 14:00:00;05/03/2018 22:00:00;;19;59
10598;06/03/2018 06:00:00;06/03/2018 08:10:00;;9;59
28910;06/03/2018 08:10:00;06/03/2018 14:00:00;18020213;1;91
10600;06/03/2018 14:00:00;06/03/2018 15:00:00;18020213;1;60
10601;06/03/2018 15:00:00;06/03/2018 15:00:00;18020213;2;60
10605;06/03/2018 15:00:00;06/03/2018 17:30:00;;9;60
10606;06/03/2018 17:30:00;06/03/2018 18:30:00;;23;60
10607;06/03/2018 18:30:00;06/03/2018 20:20:00;;9;60
29203;06/03/2018 20:20:00;06/03/2018 21:40:00;18020234;1;20
10609;06/03/2018 21:40:00;06/03/2018 22:00:00;;20;60
13513;07/03/2018 06:00:00;07/03/2018 06:40:00;;20;51
13514;07/03/2018 06:40:00;07/03/2018 08:35:00;18020234;1;51
13519;07/03/2018 08:35:00;07/03/2018 08:35:00;18020234;2;51
13522;07/03/2018 08:35:00;07/03/2018 09:45:00;;3;52
29222;07/03/2018 09:45:00;07/03/2018 11:00:00;18020235;1;22
13527;07/03/2018 11:00:00;07/03/2018 13:30:00;;7;52
14738;07/03/2018 13:30:00;07/03/2018 13:30:00;18020235;2;73
13528;07/03/2018 13:30:00;07/03/2018 14:00:00;;22;52
13529;07/03/2018 14:00:00;07/03/2018 22:00:00;;19;52
14745;08/03/2018 06:00:00;08/03/2018 09:10:00;;9;74
14746;08/03/2018 09:10:00;08/03/2018 09:30:00;18020258;1;74
14747;08/03/2018 09:30:00;08/03/2018 11:10:00;;11;74
14748;08/03/2018 11:10:00;08/03/2018 11:30:00;18020258;1;74
14752;08/03/2018 11:30:00;08/03/2018 12:30:00;;23;75
14753;08/03/2018 12:30:00;08/03/2018 14:00:00;;11;75
14754;08/03/2018 14:00:00;08/03/2018 14:20:00;;11;75
14755;08/03/2018 14:20:00;08/03/2018 17:30:00;18020258;1;75
14760;08/03/2018 17:30:00;08/03/2018 18:30:00;;23;76
14761;08/03/2018 18:30:00;08/03/2018 21:45:00;18020258;1;76
14767;08/03/2018 21:45:00;08/03/2018 22:00:00;;20;76
16382;09/03/2018 06:00:00;09/03/2018 06:50:00;;20;38
16383;09/03/2018 06:50:00;09/03/2018 07:30:00;18020258;1;38
